Package                                    Size MiB  Build Seconds  Build Time
app-eselect/eselect-pinentry                      0              0  -
app-eselect/eselect-ruby                          0              0  -
app-eselect/eselect-rust                          0              0  -
app-misc/ca-certificates                          0              0  -
app-misc/editor-wrapper                           0              0  -
app-misc/fdupes                                   0              0  -
app-misc/jq                                       0              0  -
app-misc/mime-types                               0              0  -
app-misc/pax-utils                                0              0  -
app-pda/ifuse                                     0              0  -
app-pda/libimobiledevice-glue                     0              0  -
app-pda/libplist                                  0              0  -
app-pda/libusbmuxd                                0              0  -
app-pda/usbmuxd                                   0              0  -
app-portage/cpuid2cpuflags                        0              0  -
app-portage/elt-patches                           0              0  -
app-portage/genlop                                0              0  -
app-portage/getuto                                0              0  -
app-portage/portage-utils                         0              0  -
app-shells/push                                   0              0  -
app-shells/quoter                                 0              0  -
app-text/build-docbook-catalog                    0              0  -
app-text/docbook-sgml-dtd                         0              0  -
app-text/docbook-xml-dtd                          0              0  -
app-text/docbook-xml-dtd                          0              0  -
app-text/docbook-xml-dtd                          0              0  -
app-text/docbook-xml-dtd                          0              0  -
app-text/docbook-xml-dtd                          0              0  -
app-text/libpaper                                 0              0  -
app-text/manpager                                 0              0  -
app-text/scdoc                                    0              0  -
app-text/sgml-common                              0              0  -
app-text/tree                                     0              0  -
app-text/xmlto                                    0              0  -
dev-build/autoconf-wrapper                        0              0  -
dev-build/automake-wrapper                        0              0  -
dev-build/gtk-doc-am                              0              0  -
dev-build/meson-format-array                      0              0  -
dev-build/ninja                                   0              0  -
dev-debug/ltrace                                  0              0  -
dev-lang/python-exec                              0              0  -
dev-lang/python-exec-conf                         0              0  -
dev-libs/blake3                                   0              0  -
dev-libs/cJSON                                    0              0  -
dev-libs/double-conversion                        0              0  -
dev-libs/fribidi                                  0              0  -
dev-libs/gobject-introspection-common             0              0  -
dev-libs/gumbo                                    0              0  -
dev-libs/jansson                                  0              0  -
dev-libs/json-c                                   0              0  -
dev-libs/jsoncpp                                  0              0  -
dev-libs/libaio                                   0              0  -
dev-libs/libassuan                                0              0  -
dev-libs/libbsd                                   0              0  -
dev-libs/libedit                                  0              0  -
dev-libs/libevdev                                 0              0  -
dev-libs/libffi                                   0              0  -
dev-libs/libksba                                  0              0  -
dev-libs/libltdl                                  0              0  -
dev-libs/libpipeline                              0              0  -
dev-libs/libtasn1                                 0              0  -
dev-libs/libusb                                   0              0  -
dev-libs/libuv                                    0              0  -
dev-libs/libyaml                                  0              0  -
dev-libs/md4c                                     0              0  -
dev-libs/mimalloc                                 0              0  -
dev-libs/mpc                                      0              0  -
dev-libs/mpdecimal                                0              0  -
dev-libs/msgpack                                  0              0  -
dev-libs/npth                                     0              0  -
dev-libs/popt                                     0              0  -
dev-libs/tree-sitter                              0              0  -
dev-libs/vala-common                              0              0  -
dev-libs/xxhash                                   0              0  -
dev-lisp/uiop                                     0              0  -
dev-perl/Capture-Tiny                             0              0  -
dev-perl/Class-Inspector                          0              0  -
dev-perl/Clone                                    0              0  -
dev-perl/Config-AutoConf                          0              0  -
dev-perl/Devel-CheckLib                           0              0  -
dev-perl/Encode-Locale                            0              0  -
dev-perl/Exporter-Tiny                            0              0  -
dev-perl/ExtUtils-CChecker                        0              0  -
dev-perl/File-Listing                             0              0  -
dev-perl/File-ShareDir                            0              0  -
dev-perl/File-ShareDir-Install                    0              0  -
dev-perl/File-Slurper                             0              0  -
dev-perl/HTML-Parser                              0              0  -
dev-perl/HTML-Tagset                              0              0  -
dev-perl/HTTP-Cookies                             0              0  -
dev-perl/HTTP-Date                                0              0  -
dev-perl/HTTP-Message                             0              0  -
dev-perl/HTTP-Negotiate                           0              0  -
dev-perl/IO-HTML                                  0              0  -
dev-perl/IO-Socket-INET6                          0              0  -
dev-perl/IO-Tty                                   0              0  -
dev-perl/libwww-perl                              0              0  -
dev-perl/List-MoreUtils                           0              0  -
dev-perl/List-MoreUtils-XS                        0              0  -
dev-perl/Locale-gettext                           0              0  -
dev-perl/LWP-MediaTypes                           0              0  -
dev-perl/LWP-Protocol-https                       0              0  -
dev-perl/MIME-Base32                              0              0  -
dev-perl/MIME-Charset                             0              0  -
dev-perl/Module-Build                             0              0  -
dev-perl/Net-HTTP                                 0              0  -
dev-perl/Params-Util                              0              0  -
dev-perl/PerlIO-utf8_strict                       0              0  -
dev-perl/Pod-Parser                               0              0  -
dev-perl/Regexp-IPv6                              0              0  -
dev-perl/SGMLSpm                                  0              0  -
dev-perl/Socket6                                  0              0  -
dev-perl/Syntax-Keyword-Try                       0              0  -
dev-perl/TermReadKey                              0              0  -
dev-perl/Text-CharWidth                           0              0  -
dev-perl/Text-WrapI18N                            0              0  -
dev-perl/TimeDate                                 0              0  -
dev-perl/Try-Tiny                                 0              0  -
dev-perl/Unicode-LineBreak                        0              0  -
dev-perl/URI                                      0              0  -
dev-perl/WWW-RobotRules                           0              0  -
dev-perl/XML-Parser                               0              0  -
dev-perl/XS-Parse-Keyword                         0              0  -
dev-perl/YAML-Tiny                                0              0  -
dev-python/certifi                                0              0  -
dev-python/editables                              0              0  -
dev-python/flit-core                              0              0  -
dev-python/gentoo-common                          0              0  -
dev-python/gpep517                                0              0  -
dev-python/hatch-vcs                              0              0  -
dev-python/jaraco-context                         0              0  -
dev-python/jaraco-functools                       0              0  -
dev-python/jaraco-text                            0              0  -
dev-python/markupsafe                             0              0  -
dev-python/mypy-extensions                        0              0  -
dev-python/olefile                                0              0  -
dev-python/pathspec                               0              0  -
dev-python/platformdirs                           0              0  -
dev-python/pluggy                                 0              0  -
dev-python/pyproject-metadata                     0              0  -
dev-python/pysocks                                0              0  -
dev-python/trove-classifiers                      0              0  -
dev-python/wheel                                  0              0  -
dev-ruby/date                                     0              0  -
dev-ruby/debug                                    0              0  -
dev-ruby/did_you_mean                             0              0  -
dev-ruby/forwardable                              0              0  -
dev-ruby/io-console                               0              0  -
dev-ruby/irb                                      0              0  -
dev-ruby/json                                     0              0  -
dev-ruby/kpeg                                     0              0  -
dev-ruby/logger                                   0              0  -
dev-ruby/matrix                                   0              0  -
dev-ruby/minitest                                 0              0  -
dev-ruby/net-ftp                                  0              0  -
dev-ruby/net-pop                                  0              0  -
dev-ruby/net-protocol                             0              0  -
dev-ruby/net-smtp                                 0              0  -
dev-ruby/power_assert                             0              0  -
dev-ruby/pp                                       0              0  -
dev-ruby/prettyprint                              0              0  -
dev-ruby/prime                                    0              0  -
dev-ruby/psych                                    0              0  -
dev-ruby/racc                                     0              0  -
dev-ruby/rake                                     0              0  -
dev-ruby/reline                                   0              0  -
dev-ruby/rexml                                    0              0  -
dev-ruby/rss                                      0              0  -
dev-ruby/singleton                                0              0  -
dev-ruby/stringio                                 0              0  -
dev-ruby/strscan                                  0              0  -
dev-ruby/test-unit                                0              0  -
dev-ruby/time                                     0              0  -
dev-ruby/timeout                                  0              0  -
dev-ruby/typeprof                                 0              0  -
dev-util/debugedit                                0              0  -
dev-util/desktop-file-utils                       0              0  -
dev-util/glib-utils                               0              0  -
dev-util/gperf                                    0              0  -
dev-util/gtk-update-icon-cache                    0              0  -
dev-util/intltool                                 0              0  -
dev-util/itstool                                  0              0  -
dev-util/patchelf                                 0              0  -
dev-util/pkgconf                                  0              0  -
gnome-base/dconf                                  0              0  -
gui-libs/display-manager-init                     0              0  -
mail-mta/nullmailer                               0              0  -
media-fonts/font-alias                            0              0  -
media-fonts/font-util                             0              0  -
media-gfx/feh                                     0              0  -
media-gfx/graphite2                               0              0  -
media-gfx/scrot                                   0              0  -
media-libs/alsa-topology-conf                     0              0  -
media-libs/giflib                                 0              0  -
media-libs/jbig2dec                               0              0  -
media-libs/libass                                 0              0  -
